,Dataset,Algorithm,Budget,Runtime,Criterion,Score
0,1jazz,naive_greedy,1,1.0842082500457764,detection_likelihood_mean,0.5039
1,1jazz,naive_greedy,1,3.1326937675476074,detection_time_mean,0.47687983320861194
2,1jazz,naive_greedy,1,4.327399969100952,population_affected_mean,0.3599312648487555
3,1jazz,naive_greedy,5,6.735696077346802,detection_likelihood_mean,0.5565
4,1jazz,naive_greedy,5,26.54420518875122,detection_time_mean,0.5288050879439046
5,1jazz,naive_greedy,5,25.836312532424927,population_affected_mean,0.39524340570072314
6,1jazz,CELF,1,1.2174420356750488,detection_likelihood_mean,0.5039
7,1jazz,CELF,1,3.5174875259399414,detection_time_mean,0.47687983320861194
8,1jazz,CELF,1,5.0479466915130615,population_affected_mean,0.3599312648487555
9,1jazz,CELF,5,4.63195538520813,detection_likelihood_mean,0.5565
10,1jazz,CELF,5,21.183199882507324,detection_time_mean,0.5288050879439046
11,1jazz,CELF,5,15.004365682601929,population_affected_mean,0.39524340570072314
12,1jazz,community_degree,1,0.16757631301879883,detection_likelihood_mean,0.5039
13,1jazz,community_degree,1,0.14561104774475098,detection_time_mean,0.47687983320861194
14,1jazz,community_degree,1,0.1575784683227539,population_affected_mean,0.3599312648487555
15,1jazz,community_degree,5,0.16558098793029785,detection_likelihood_mean,0.5338
16,1jazz,community_degree,5,0.16455674171447754,detection_time_mean,0.5141694053991878
17,1jazz,community_degree,5,0.13065099716186523,population_affected_mean,0.3800441997747922
